latitudes,longitudes,Year,Month,Day,Time,hum_1,hum_2,hum_3,hum_4,hum_5,hum_6,hum_7,hum_8,hum_9,hum_10,hum_11,hum_12,hum_13,hum_14,hum_15,hum_16,hum_17,hum_18,hum_19,hum_20,hum_21,hum_22,hum_23,hum_24,hum_25,hum_26,hum_27,hum_28,hum_29,hum_30
-57.06,40.94,2022,1,1,19.81,58.8977,48.3205,52.5712,53.809,48.9616,51.0156,54.1386,35.9881,39.1479,45.6127,38.8467,11.3183,4.0999,1.9673,1.4435,1.446,1.1685,0.9642,0.7934,0.58,0.4583,0.3932,0.3026,0.2407,0.1753,0.116,0.0781,0.0588,0.0431,0.0309
-45.72,16.85,2022,1,1,19.85,74.4966,73.7171,20.0873,8.7089,0.9617,26.9987,29.3761,41.446,28.3815,28.4263,14.5297,4.8243,2.1106,1.3948,1.0319,0.8201,0.8104,0.7398,0.6642,0.6037,0.5141,0.4393,0.3909,0.3199,0.2525,0.1769,0.1049,0.0745,0.0575,0.0462
-41.99,45.35,2022,1,1,19.86,79.4015,38.9867,36.2065,32.5153,22.3151,12.478,21.9891,50.3532,60.0578,56.4589,50.2448,15.5195,5.7025,3.4639,2.7071,2.4187,2.138,1.7672,1.5498,1.1294,0.7799,0.6488,0.4877,0.3701,0.271,0.2067,0.1683,0.1364,0.1052,0.077
-16.62,5.63,2022,1,1,19.97,71.2972,39.6898,60.3356,48.2225,7.8118,2.3993,11.3662,7.3946,3.9447,7.3112,12.7761,17.8225,26.2666,31.149,28.3661,20.7942,28.3958,26.2817,17.2352,8.5203,4.2954,2.3503,1.4224,0.9509,0.6551,0.4345,0.258,0.1631,0.1108,0.0775
-43.22,-141.42,2022,1,1,20.0,85.7666,45.3318,39.225,23.3961,10.5575,11.3302,17.5693,36.32,27.8495,24.6548,45.4148,52.243,53.1087,30.3488,6.3542,4.1162,4.1282,3.145,2.7144,1.9122,1.1908,0.9542,0.7608,0.6008,0.4235,0.3029,0.213,0.1549,0.1045,0.0703
0.65,-142.04,2022,1,1,20.0,81.7222,32.3335,10.4596,40.9467,71.1401,54.1232,13.6328,9.7312,6.771,10.3351,11.3605,13.9284,21.0951,29.6758,24.686,22.7085,21.5648,22.4815,12.1002,7.7438,6.2827,3.7879,3.1136,1.6082,0.8867,0.5074,0.232,0.1209,0.0706,0.0453
-7.37,-179.04,2022,1,1,20.05,80.1774,90.4719,89.4168,94.6735,88.9535,79.8922,75.4875,74.0622,62.5655,47.4741,41.9254,48.3707,53.7376,52.1909,38.1884,40.7825,39.0025,38.3845,18.8287,9.4763,7.5552,4.185,2.5694,1.0898,0.6029,0.3927,0.2508,0.1605,0.0989,0.0625
-48.44,161.23,2022,1,1,20.06,81.2728,44.8466,23.0095,19.8589,11.6043,24.8538,33.0996,43.4771,54.0251,59.0706,33.8852,11.3112,3.7462,1.4936,2.1333,3.0477,2.5611,2.4305,2.0059,1.1589,0.9014,0.6986,0.4893,0.3281,0.2869,0.2244,0.1539,0.1087,0.08,0.0599
-64.04,-166.72,2022,1,1,20.06,93.6252,88.5999,89.19,83.8826,71.2932,72.2164,64.1843,36.7199,16.5986,5.3564,2.005,1.0412,0.7064,0.5232,0.4308,0.3879,0.3674,0.2994,0.2596,0.2111,0.1633,0.1289,0.1031,0.095,0.0904,0.0693,0.0484,0.0391,0.032,0.0229
9.93,30.44,2022,1,1,20.11,12.3271,18.3399,35.8545,42.8297,21.5369,15.8655,32.789,21.2993,12.8327,53.3371,62.5601,55.6398,39.9114,6.4338,13.3116,22.6916,23.1659,21.6716,27.6874,16.2679,6.1082,3.6634,1.6446,0.9627,0.693,0.5384,0.3224,0.2203,0.1743,0.0963
